2022-10-27 16:50:57,170 INFO    MainThread:278879 [wandb_setup.py:_flush():68] Configure stats pid to 278879
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_setup.py:_flush():68] Loading settings from /home/alex_ch/.config/wandb/settings
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_setup.py:_flush():68] Loading settings from /home/alex_ch/Documents/flax_vit/vit/nn/wandb/settings
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'vit/nn/test_training.py', 'program': '/home/alex_ch/Documents/flax_vit/vit/nn/test_training.py'}
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_init.py:_log_setup():476] Logging user logs to /home/alex_ch/Documents/flax_vit/vit/nn/wandb/run-20221027_165057-31xsnhxo/logs/debug.log
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_init.py:_log_setup():477] Logging internal logs to /home/alex_ch/Documents/flax_vit/vit/nn/wandb/run-20221027_165057-31xsnhxo/logs/debug-internal.log
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_init.py:init():516] calling init triggers
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'model_config': {'n_blocks': 3, 'block_config': {'latent_dim': 512, 'latent_ffd_dim': 1203, 'n_heads': 8, 'dropout_rate_ffd': 0.1, 'dropout_rate_att': 0.5}, 'dropout_embedding': 0.5, 'img_params': (224, 16), 'output_dim': 102}, 'weight_decay': 0.001, 'learning_rate': 1e-05, 'warmup_epochs': 1, 'num_epochs': 1, 'clip_parameter': 1.0, 'batch_size': 1}
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_init.py:init():569] starting backend
2022-10-27 16:50:57,171 INFO    MainThread:278879 [wandb_init.py:init():573] setting up manager
2022-10-27 16:50:57,174 INFO    MainThread:278879 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-27 16:50:57,175 INFO    MainThread:278879 [wandb_init.py:init():580] backend started and connected
2022-10-27 16:50:57,179 INFO    MainThread:278879 [wandb_init.py:init():658] updated telemetry
2022-10-27 16:50:57,275 INFO    MainThread:278879 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-27 16:50:57,726 INFO    MainThread:278879 [wandb_run.py:_on_init():2000] communicating current version
2022-10-27 16:50:57,827 INFO    MainThread:278879 [wandb_run.py:_on_init():2004] got version response 
2022-10-27 16:50:57,827 INFO    MainThread:278879 [wandb_init.py:init():728] starting run threads in backend
2022-10-27 16:50:57,890 INFO    MainThread:278879 [wandb_run.py:_console_start():1980] atexit reg
2022-10-27 16:50:57,890 INFO    MainThread:278879 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-27 16:50:57,890 INFO    MainThread:278879 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-27 16:50:57,890 INFO    MainThread:278879 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-27 16:50:57,891 INFO    MainThread:278879 [wandb_init.py:init():765] run started, returning control to user process
2022-10-27 16:51:13,453 WARNING MsgRouterThr:278879 [router.py:message_loop():77] message_loop has been closed
